,precision,recall,f1-score,support
Blizzard,0.0,0.0,0.0,1.0
Blowing snow,0.16666666666666666,0.16666666666666666,0.16666666666666666,6.0
Clear,0.8170320404721754,0.8396880415944541,0.8282051282051283,1154.0
Cloudy,0.5688405797101449,0.5924528301886792,0.5804066543438078,265.0
Fog,0.7269230769230769,0.6725978647686833,0.6987060998151571,281.0
Freezing drizzle,0.0,0.0,0.0,1.0
Freezing fog,0.625,0.7142857142857143,0.6666666666666666,35.0
Heavy rain,0.625,0.45454545454545453,0.5263157894736842,11.0
Heavy rain at times,0.0,0.0,0.0,3.0
Heavy snow,0.375,0.3157894736842105,0.34285714285714286,19.0
Light drizzle,0.3951612903225806,0.4224137931034483,0.4083333333333333,116.0
Light freezing rain,0.09090909090909091,0.06666666666666667,0.07692307692307693,15.0
Light rain,0.26474442988204455,0.2693333333333333,0.2670191672174488,750.0
Light rain shower,0.7560521415270018,0.725,0.740200546946217,560.0
Light sleet,0.07142857142857142,0.1,0.08333333333333333,10.0
Light sleet showers,0.0,0.0,0.0,2.0
Light snow,0.25,0.2987012987012987,0.27218934911242604,77.0
Light snow showers,0.2,0.2727272727272727,0.23076923076923078,11.0
Mist,0.6733828207847296,0.6733828207847296,0.6733828207847296,943.0
Moderate or heavy rain in area with thunder,0.0,0.0,0.0,2.0
Moderate or heavy rain shower,0.3333333333333333,0.2962962962962963,0.3137254901960784,54.0
Moderate or heavy rain with thunder,0.10471204188481675,0.09803921568627451,0.10126582278481013,204.0
Moderate or heavy sleet,0.0,0.0,0.0,1.0
Moderate or heavy snow in area with thunder,0.0,0.0,0.0,1.0
Moderate or heavy snow showers,0.1111111111111111,0.1111111111111111,0.1111111111111111,9.0
Moderate rain,0.12663755458515283,0.15104166666666666,0.1377672209026128,192.0
Moderate rain at times,0.15384615384615385,0.17391304347826086,0.16326530612244897,23.0
Moderate snow,0.21428571428571427,0.21428571428571427,0.21428571428571427,14.0
Overcast,0.6001534919416731,0.6172059984214681,0.6085603112840466,1267.0
Partly Cloudy,0.6723891273247496,0.6671398154719659,0.6697541859636623,1409.0
Partly cloudy,0.871513102282333,0.8594053903862184,0.8654168998321209,7198.0
Patchy heavy snow,0.3333333333333333,0.4,0.36363636363636365,5.0
Patchy light drizzle,0.7045454545454546,0.7654320987654321,0.7337278106508875,81.0
Patchy light rain,0.16363636363636364,0.20930232558139536,0.1836734693877551,43.0
Patchy light rain in area with thunder,0.36363636363636365,0.3333333333333333,0.34782608695652173,36.0
Patchy light rain with thunder,0.06417112299465241,0.08053691275167785,0.07142857142857142,149.0
Patchy light snow,0.07692307692307693,0.07142857142857142,0.07407407407407407,14.0
Patchy light snow in area with thunder,1.0,1.0,1.0,1.0
Patchy moderate snow,0.0,0.0,0.0,2.0
Patchy rain nearby,0.8938631790744467,0.8943130347257172,0.8940880503144654,1987.0
Patchy rain possible,0.0,0.0,0.0,8.0
Patchy snow nearby,0.0,0.0,0.0,1.0
Patchy snow possible,0.0,0.0,0.0,1.0
Sunny,0.9397846415415132,0.9330426220284147,0.936401496435378,7109.0
Thundery outbreaks in nearby,0.5344827586206896,0.6595744680851063,0.5904761904761905,47.0
Thundery outbreaks possible,0.25,0.2,0.2222222222222222,5.0
Torrential rain shower,0.0,0.0,0.0,2.0
accuracy,0.7956062176165803,0.7956062176165803,0.7956062176165803,0.7956062176165803
macro avg,0.3216701836920642,0.3259500606288135,0.3226527958407039,24125.0
weighted avg,0.7994659002966897,0.7956062176165803,0.7974138110160867,24125.0
